lad21cd,local_authority,in_lad,wa21cd,population,collection_type,collection_type_sort,in_foi,waste_authority,waste_authority_type,total_collected,total_recycled,total_not_recycled,total_rejects,household_collected,household_recycled,household_not_recycled,household_rejects,non_household_collected,non_household_recycled,non_household_not_recycled,non_household_rejects,in_rec,household_recycle_rate,rgn21cd,region,bng_e,bng_n,long,lat,household_collected_per_cap
E07000037,High Peak,Y,E07000037,91104,Co-Mingled,1,Y,High Peak Borough Council,Collection,38663,17464,21199,1295,35419,16899,18520,1295,3245,565,2679,0,Y,0.477116801716593,E12000004,East Midlands,410474,387660,-1.84398,53.3857,0.388775465402178
E07000038,North East Derbyshire,Y,E07000038,102315,Two Stream,2,Y,North East Derbyshire District Council,Collection,43206,18791,24415,1466,41205,18668,22537,1466,2000,122,1878,0,Y,0.453051814100231,E12000004,East Midlands,437369,362955,-1.44253,53.1624,0.402726872892538
E07000039,South Derbyshire,Y,E07000039,108063,Two Stream,2,Y,South Derbyshire District Council,Collection,45498,20628,24870,577,44048,20591,23457,577,1450,37,1413,0,Y,0.467467308390846,E12000004,East Midlands,431443,325363,-1.5348,52.8249,0.407614076973617
E07000040,East Devon,Y,E07000040,152120,Two Stream,2,Y,East Devon District Council,Collection,49642,30235,19407,1,49528,30234,19294,1,114,1,113,0,Y,0.610442577935713,E12000009,South West,313790,96050,-3.22359,50.7576,0.325585064422824
E07000041,Exeter,Y,E07000041,129307,Co-Mingled,1,Y,Exeter City Council,Collection,42435,10712,31722,3851,39122,9979,29143,3851,3313,734,2579,0,Y,0.255073871478963,E12000009,South West,293239,92005,-3.51368,50.7178,0.302551292660104
E07000042,Mid Devon,Y,E07000042,83186,Two Stream,2,Y,Mid Devon District Council,Collection,32369,15884,16485,8,29223,15682,13541,8,3147,202,2944,0,Y,0.53663210484892,E12000009,South West,288064,108911,-3.59212,50.8688,0.351297093260885
E07000043,North Devon,Y,E07000043,99435,Multi-Stream,3,Y,North Devon District Council,Collection,43332,19487,23845,0,39138,18881,20257,0,4194,606,3588,0,Y,0.48242117635035,E12000009,South West,265110,132532,-3.92691,51.0762,0.393603861819279
E07000044,South Hams,Y,E07000044,89213,Two Stream,2,Y,South Hams District Council,Collection,33608,15042,18566,303,31936,14907,17028,303,1672,134,1538,0,Y,0.466777304609219,E12000009,South West,270676,54036,-3.81996,50.3719,0.357974734623878
E07000045,Teignbridge,Y,E07000045,135216,Multi-Stream,3,Y,Teignbridge District Council,Collection,51787,28600,23188,34,51379,28567,22812,34,408,33,375,0,Y,0.556005371844528,E12000009,South West,283144,80205,-3.65289,50.6098,0.379977221630576
E07000046,Torridge,Y,E07000046,68475,Multi-Stream,3,Y,Torridge District Council,Collection,25044,13481,11562,0,25026,13481,11545,0,18,0,18,0,Y,0.538679773036043,E12000009,South West,244206,114334,-4.21728,50.9074,0.365476451259584
E07000047,West Devon,Y,E07000047,57488,Multi-Stream,3,Y,West Devon Borough Council,Collection,18300,9881,8420,91,18268,9879,8389,91,33,2,30,0,Y,0.540781694766805,E12000009,South West,256376,86990,-4.03361,50.6648,0.317770665182299
E07000061,Eastbourne,Y,E07000061,101593,Co-Mingled,1,Y,Eastbourne Borough Council,Collection,35143,13571,21572,754,34901,13562,21339,754,243,9,234,0,Y,0.388584854302169,E12000008,South East,559339,99575,0.258516,50.7739,0.343537448446251
E07000062,Hastings,Y,E07000062,90959,Co-Mingled,1,Y,Hastings Borough Council,Collection,32526,10050,22476,436,32152,10039,22113,436,374,11,363,0,Y,0.312235630753919,E12000008,South East,581528,110694,0.578395,50.8672,0.353477940610605
E07000063,Lewes,Y,E07000063,100194,Co-Mingled,1,Y,Lewes District Council,Collection,37064,14700,22364,-3,34807,14278,20528,-3,2257,422,1835,0,Y,0.410204843853248,E12000008,South East,541474,105686,0.007671,50.8334,0.34739605165978
E07000064,Rother,Y,E07000064,93429,Two Stream,2,Y,Rother District Council,Collection,40229,18644,21585,539,40115,18644,21471,539,113,0,113,0,Y,0.464763804063318,E12000008,South East,578721,119666,0.542937,50.9487,0.429363473867857
E07000065,Wealden,Y,E07000065,160749,Co-Mingled,1,Y,Wealden District Council,Collection,63353,30902,32451,1229,63253,30901,32352,1229,100,1,99,0,Y,0.488530188291465,E12000008,South East,555048,117180,0.205156,50.9332,0.393489228548856
E07000066,Basildon,Y,E07000066,187659,Two Stream,2,Y,Basildon District Council,Collection,87357,38115,49242,1270,83707,37873,45833,1270,3650,241,3409,0,Y,0.452447226635765,E12000006,East of England,571548,190848,0.475055,51.5904,0.446059075237532
E07000067,Braintree,Y,E07000067,155710,Co-Mingled,1,Y,Braintree District Council,Collection,67816,30891,36926,1775,64039,30144,33895,1775,3778,747,3031,0,Y,0.470713159168632,E12000006,East of England,577253,227335,0.575911,51.9163,0.411270952411534
E07000068,Brentwood,Y,E07000068,77103,Two Stream,2,Y,Brentwood Borough Council,Collection,32135,12627,19509,53,30551,12422,18129,53,1584,205,1379,0,Y,0.406598802003208,E12000006,East of England,558560,196070,0.290091,51.6411,0.396236203519967
E07000069,Castle Point,Y,E07000069,89708,Two Stream,2,Y,Castle Point Borough Council,Collection,35471,16895,18576,1381,35471,16895,18576,1381,0,0,0,0,Y,0.476304586845592,E12000006,East of England,579490,187920,0.588084,51.5616,0.395405092076515
E07000070,Chelmsford,Y,E07000070,181763,Multi-Stream,3,Y,Chelmsford Borough Council,Collection,79060,39841,39219,8605,74532,31126,43406,8605,4528,8714,-4186,0,Y,0.417619277625718,E12000006,East of England,572116,206972,0.491177,51.735,0.41005045031167
E07000071,Colchester,Y,E07000071,192424,Multi-Stream,3,Y,Colchester Borough Council,Collection,67251,35759,31492,196,64333,35249,29083,196,2919,510,2409,0,Y,0.547914756035005,E12000006,East of England,596944,223693,0.859777,51.877,0.334329397580343
E07000072,Epping Forest,Y,E07000072,134909,Two Stream,2,Y,Epping Forest Borough Council,Collection,57727,30873,26854,900,56924,30873,26051,900,803,0,803,0,Y,0.542354718572131,E12000006,East of England,548919,203758,0.154147,51.7128,0.421943680555041
E07000073,Harlow,Y,E07000073,93374,Co-Mingled,1,Y,Harlow District Council,Collection,29952,11813,18138,1001,29762,11808,17954,1001,190,5,185,0,Y,0.396747530407903,E12000006,East of England,545276,209589,0.103888,51.7661,0.318739691991347
E07000074,Maldon,Y,E07000074,66627,Two Stream,2,Y,Maldon District Council,Collection,26157,15088,11068,93,25859,15076,10783,93,298,12,286,0,Y,0.583007850264898,E12000006,East of England,591413,212072,0.773106,51.7746,0.388115928977742
E07000075,Rochford,Y,E07000075,86186,Co-Mingled,1,Y,Rochford District Council,Collection,35392,21127,14265,810,35272,21127,14145,810,120,0,120,0,Y,0.598973690179179,E12000006,East of England,585979,191417,0.683442,51.5909,0.409254403267352
